question,lang,topic,latency_ms
To which geographical area does the Registration of Bus...,en,registration,3502.4
Within what timeframe must the person responsible for a...,en,registration,2342.8
What is the maximum period for which the Registrar can ...,en,registration,12110.2
Where must the certificate of registration issued for a...,en,registration,2967.7
What is the status of the Minister's decision regarding...,en,registration,2493.1
